Accession,Sequence description,Reason for removal
MZ031194.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/25.18/1[D8], complete genome",Low quality frameshifted genome
MZ031195.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/26.18/2[D8], complete genome",Low quality frameshifted genome
MZ031197.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.18/1[D8], complete genome",Low quality frameshifted genome
MZ031198.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.18/4[D8], complete genome",Low quality frameshifted genome
MZ031199.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.18/3[D8], complete genome",Low quality frameshifted genome
MZ031200.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/28.18/1[D8], complete genome",Low quality frameshifted genome
MZ031201.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.18/1[D8], complete genome",Low quality frameshifted genome
MZ031202.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.18/2[D8], complete genome",Low quality frameshifted genome
MZ031203.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/30.18/1[D8], complete genome",Low quality frameshifted genome
MZ031204.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/31.18/1[D8], complete genome",Low quality frameshifted genome
MZ031205.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/31.18/2[D8], complete genome",Low quality frameshifted genome
MZ031206.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/33.18/2[D8], complete genome",Low quality frameshifted genome
MZ031207.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/33.18/1[D8], complete genome",Low quality frameshifted genome
MZ031208.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/34.18/1[D8], complete genome",Low quality frameshifted genome
MZ031209.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/35.18/1[D8], complete genome",Low quality frameshifted genome
MZ031210.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/36.18/1[D8], complete genome",Low quality frameshifted genome
MZ031211.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/37.18/2[D8], complete genome",Low quality frameshifted genome
MZ031212.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/37.18/1[D8], complete genome",Low quality frameshifted genome
MZ031213.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/37.18/3[D8], complete genome",Low quality frameshifted genome
MZ031214.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/38.18/1[D8], complete genome",Low quality frameshifted genome
MZ031215.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/40.18/1[D8], complete genome",Low quality frameshifted genome
MZ031216.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/13.19/1[D8], complete genome",Low quality frameshifted genome
MZ031217.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/13.19/2[D8], complete genome",Low quality frameshifted genome
MZ031218.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/14.19/1[D8], complete genome",Low quality frameshifted genome
MZ031220.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/15.19/1[D8], complete genome",Low quality frameshifted genome
MZ031221.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/16.19/1[D8], complete genome",Low quality frameshifted genome
MZ031222.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/17.19/1[D8], complete genome",Low quality frameshifted genome
MZ031223.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/17.19/3[D8], complete genome",Low quality frameshifted genome
MZ031224.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/19.19/3[D8], complete genome",Low quality frameshifted genome
MZ031226.1 ,"UNVERIFIED: Measles virus genotype B3 strain MVi/Marseille.FRA/19.19/8[B3], complete genome",Low quality frameshifted genome
MZ031227.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/19.19/1[B3], complete genome",Low quality frameshifted genome
MZ031230.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/19.19/16[D8], complete genome",Low quality frameshifted genome
MZ031231.1 ,"UNVERIFIED: Measles virus genotype B3 strain MVi/Marseille.FRA/19.19/19[B3], complete genome",Low quality frameshifted genome
MZ031232.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/20.19/6[D8], complete genome",Low quality frameshifted genome
MZ031234.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/20.19/2[D8], complete genome",Low quality frameshifted genome
MZ031235.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/20.19/3[D8], complete genome",Low quality frameshifted genome
MZ031236.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/18[D8], complete genome",Low quality frameshifted genome
MZ031237.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/9[D8], complete genome",Low quality frameshifted genome
MZ031238.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/10[D8], complete genome",Low quality frameshifted genome
MZ031239.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/19[D8], complete genome",Low quality frameshifted genome
MZ031242.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/11[D8], complete genome",Low quality frameshifted genome
MZ031243.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/4[D8], complete genome",Low quality frameshifted genome
MZ031244.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/20.19/5[D8], complete genome",Low quality frameshifted genome
MZ031245.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/21.19/15[D8], complete genome",Low quality frameshifted genome
MZ031246.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/22.19/1[D8], complete genome",Low quality frameshifted genome
MZ031247.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/22.19/4[D8], complete genome",Low quality frameshifted genome
MZ031248.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.19/1[D8], complete genome",Low quality frameshifted genome
MZ031249.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.19/6[D8], complete genome",Low quality frameshifted genome
MZ031250.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.19/7[D8], complete genome",Low quality frameshifted genome
MZ031251.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/23.19/5[D8], complete genome",Low quality frameshifted genome
MZ031253.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.19/2[D8], complete genome",Low quality frameshifted genome
MZ031254.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.19/5[D8], complete genome",Low quality frameshifted genome
MZ031255.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.19/3[D8], complete genome",Low quality frameshifted genome
MZ031256.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.19/4[D8], complete genome",Low quality frameshifted genome
MZ031257.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/27.19/1[D8], complete genome",Low quality frameshifted genome
MZ031258.1 ,"UNVERIFIED: Measles virus genotype B3 strain MVi/Marseille.FRA/27.19/6[B3], complete genome",Low quality frameshifted genome
MZ031259.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/28.19/3[D8], complete genome",Low quality frameshifted genome
MZ031260.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/28.19/1[D8], complete genome",Low quality frameshifted genome
MZ031261.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/28.19/2[D8], complete genome",Low quality frameshifted genome
MZ031262.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/1[D8], complete genome",Low quality frameshifted genome
MZ031263.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/4[D8], complete genome",Low quality frameshifted genome
MZ031264.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/2[D8], complete genome",Low quality frameshifted genome
MZ031265.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/6[D8], complete genome",Low quality frameshifted genome
MZ031266.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/5[D8], complete genome",Low quality frameshifted genome
MZ031267.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/29.19/3[D8], complete genome",Low quality frameshifted genome
MZ031268.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/30.19/1[D8], complete genome",Low quality frameshifted genome
MZ031269.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/30.19/2[D8], complete genome",Low quality frameshifted genome
MZ031270.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/31.19/1[D8], complete genome",Low quality frameshifted genome
MZ031271.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/37.19/1[D8], complete genome",Low quality frameshifted genome
MZ031272.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/39.19/1[D8], complete genome",Low quality frameshifted genome
MZ031273.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/39.19/2[D8], complete genome",Low quality frameshifted genome
MZ031274.1 ,"UNVERIFIED: Measles virus genotype D8 strain MVi/Marseille.FRA/41.19/1[D8], complete genome",Low quality frameshifted genome
MW090971.1 ,"Mutant Measles morbillivirus strain MeVvac2-SARS2-S(H), complete genome",Transgenic vaccine strain
MN822013.1 ,"Mutant Measles morbillivirus clone MeV ld-EGFP, complete genome",GFP construct
LC420150.1 ,"Mumps orthorubulavirus rOdate/AcGFP viral cRNA, complete genome",GFP construct
LC420351.1 ,"Measles morbillivirus IC323-EGFP viral cRNA, complete genome",GFP construct
MH144178.1 ,"Measles virus genotype A transgenic strain vac2(GFP)H, complete genome",Transgenic vaccine strain
LC187306.1 ,"Avian metaavulavirus 2 rAPMV-2-Yuc/YmHA genomic RNA, complete genome",Transgenic Vaccine strain
KM054581.1 ,"Measles virus MeV-eGFP_Edm-tag transgenic, complete sequence",GFP construct
