Organism_Name,Host_Class,Host_Order,Host_label
Camp hill virus,Mammalia,Eulipotyphla,Eulipotyphla
Goose orthorubulavirus 5,Aves,Anseriformes,Aves
Gainesville rodent jeilong virus 1,Mammalia,Rodentia,Rodentia
Lechcodon virus,Mammalia,Eulipotyphla,Eulipotyphla
Denwin virus,Mammalia,Eulipotyphla,Eulipotyphla
Rattus tanezumi jeilongvirus,Mammalia,Rodentia,Rodentia
Jeilongvirus sp.,Mammalia,Rodentia,Rodentia
Jingmen apodemus agrarius jeilongvirus 1,Mammalia,Rodentia,Rodentia
Jingmen apodemus agrarius jeilongvirus 2,Mammalia,Rodentia,Rodentia
Paramyxoviridae sp. 1,Mammalia,Rodentia,Rodentia
Paramyxoviridae sp. 2,Mammalia,Rodentia,Rodentia
Ninapo virus,Mammalia,Rodentia,Rodentia
Denotus virus,Mammalia,Rodentia,Rodentia
Ninorex virus,Mammalia,Eulipotyphla,Eulipotyphla
Ninomys virus,Mammalia,Rodentia,Rodentia
Piparella virus,Mammalia,Chiroptera,Chiroptera
Plecomyxo virus,Mammalia,Chiroptera,Chiroptera
Wild boar parainfluenza virus 3,Mammalia,Artiodactyla,Artiodactyla
Avian paramyxovirus 2,Aves,Charadriiformes,Aves
Bovine narmovirus 1,Mammalia,Artiodactyla,Artiodactyla
Pilot whale morbillivirus,Mammalia,Artiodactyla,Artiodactyla
Bovine-like parainfluenza virus 3,Mammalia,Artiodactyla,Artiodactyla
Gerbil paramyxovirus,Mammalia,Rodentia,Rodentia
Pangolin parainfluenza 3 virus,Mammalia,Pholidota,Pholidota
Respirovirus p021t/pangolin/2018,Mammalia,Pholidota,Pholidota
Respirovirus p030t/pangolin/2018,Mammalia,Pholidota,Pholidota
Respirovirus p040t/pangolin/2018,Mammalia,Pholidota,Pholidota
Respirovirus p045t/pangolin/2018,Mammalia,Pholidota,Pholidota
Phyllostomus bat morbillivirus,Mammalia,Chiroptera,Chiroptera
Melian virus,Mammalia,Eulipotyphla,Eulipotyphla
Ninove microtus virus,Mammalia,Rodentia,Rodentia
Gierle apodemus virus,Mammalia,Rodentia,Rodentia
Denestis virus,Mammalia,Rodentia,Rodentia
Denalis virus,Mammalia,Rodentia,Rodentia
Meliandou mastomys virus,Mammalia,Rodentia,Rodentia
Meliandou praomys virus,Mammalia,Rodentia,Rodentia
Memana virus,Mammalia,Rodentia,Rodentia
Meliandou lophuromys virus,Mammalia,Rodentia,Rodentia
Meleucus virus,Mammalia,Rodentia,Rodentia
Jingmen crocidura shantungensis henipavirus 1,Mammalia,Eulipotyphla,Eulipotyphla
Jingmen crocidura shantungensis henipavirus 2,Mammalia,Eulipotyphla,Eulipotyphla
Wufeng chodsigoa smithii henipavirus 1,Mammalia,Eulipotyphla,Eulipotyphla
Wufeng crocidura attenuata henipavirus 1,Mammalia,Eulipotyphla,Eulipotyphla
Wufeng eothenomys melanogaster jeilongvirus 1,Mammalia,Rodentia,Rodentia
Wufeng typhlomys cinereus jeilongvirus 1,Mammalia,Rodentia,Rodentia
Wufeng apodemus chevrieri jeilongvirus 1,Mammalia,Rodentia,Rodentia
Wufeng myotis altarium paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Jingmen myotis davidii paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Wenzhou myotis davidii paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Wenzhou myotis laniger paramyxovirus 2,Mammalia,Chiroptera,Chiroptera
Wufeng murina leucogaster paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Wenzhou rattus losea jeilongvirus 2,Mammalia,Rodentia,Rodentia
Avian paramyxovirus 12,Aves,Anseriformes,Aves
Avian paramyxovirus 21,Aves,Anseriformes,Aves
Avian metaavulavirus 22,Aves,Columbiformes,Aves
Jeilongvirus chaetodipodis,Mammalia,Rodentia,Rodentia
Parahenipavirus gamakense,Mammalia,Eulipotyphla,Eulipotyphla
Parahenipavirus daeryongense,Mammalia,Eulipotyphla,Eulipotyphla
Wenzhou apodemus agrarius henipavirus 1,Mammalia,Rodentia,Rodentia
Wenzhou apodemus agrarius jeilongvirus 1,Mammalia,Rodentia,Rodentia
Wenzhou rattus norvegicus jeilongvirus 1,Mammalia,Rodentia,Rodentia
Longquan niviventer niviventer jeilongvirus 1,Mammalia,Rodentia,Rodentia
Longquan niviventer fulvescens jeilongvirus 1,Mammalia,Rodentia,Rodentia
Longquan niviventer fulvescens jeilongvirus 2,Mammalia,Rodentia,Rodentia
Wufeng rattus nitidus jeilongvirus 1,Mammalia,Rodentia,Rodentia
Longquan berylmys bowersi morbillivirus 1,Mammalia,Rodentia,Rodentia
Wufeng niviventer fulvescens morbillivirus 1,Mammalia,Rodentia,Rodentia
Longquan leopoldamys edwardsi respirovirus 1,Mammalia,Rodentia,Rodentia
Wufeng rhinolophus sinicus rubulavirus 1,Mammalia,Chiroptera,Chiroptera
Jingmen miniopterus schreibersii paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Jingmen miniopterus schreibersii paramyxovirus 2,Mammalia,Chiroptera,Chiroptera
Wufeng rhinolophus pearsonii paramyxovirus 1,Mammalia,Chiroptera,Chiroptera
Jeilongvirus pajuense,Mammalia,Rodentia,Rodentia
Jeilongvirus yeoncheonense,Mammalia,Rodentia,Rodentia
Ferlavirus reptilis,Lepidosauria,Squamata,Reptilia
Porcine morbillivirus,Mammalia,Artiodactyla,Artiodactyla
Pangolin respirovirus,Mammalia,Pholidota,Pholidota
Achimota pararubulavirus 3,Mammalia,Chiroptera,Chiroptera
Avian orthoavulavirus 16,Aves,Anseriformes,Aves
Respirovirus rupicaprae,Mammalia,Artiodactyla,Artiodactyla
Bat paramyxovirus 16797,Mammalia,Chiroptera,Chiroptera
Bat paramyxovirus 17770,Mammalia,Chiroptera,Chiroptera
Avian paramyxovirus 22,Aves,Columbiformes,Aves
Pacific salmon paramyxovirus,Actinopteri,Salmoniformes,Fish
Crotalus paramyxovirus,Lepidosauria,Squamata,Reptilia
Anaconda paramyxovirus,Lepidosauria,Squamata,Reptilia
Avian metaavulavirus 10,Aves,Sphenisciformes,Aves
Snake paramyxovirus,Lepidosauria,Squamata,Reptilia
Vampire bat morbillivirus 2,Mammalia,Chiroptera,Chiroptera
Metaavulavirus bangorense,Aves,Passeriformes,Aves
Paraavulavirus neophemae,Aves,NA,Aves
Metaavulavirus yucaipaense,Aves,Galliformes,Aves
Swine parainfluenza virus 3,Mammalia,Artiodactyla,Artiodactyla
